id,lat,lng,confirmed,deaths,recovered,existing,Province/State,timestamp,country,Confirmed
Mainland China Chongqing,30.0572,107.874,75,0,0,75,Chongqing,2020-01-26,Chine,75
Mainland China Chongqing,30.0572,107.874,110,0,0,110,Chongqing,2020-01-27,Chine,110
Mainland China Chongqing,30.0572,107.874,132,0,0,132,Chongqing,2020-01-28,Chine,132
Mainland China Chongqing,30.0572,107.874,147,0,1,146,Chongqing,2020-01-29,Chine,147
Mainland China Chongqing,30.0572,107.874,182,0,1,181,Chongqing,2020-01-30,Chine,182
Mainland China Chongqing,30.0572,107.874,211,0,1,210,Chongqing,2020-01-31,Chine,211
Mainland China Chongqing,30.0572,107.874,247,1,3,243,Chongqing,2020-02-01,Chine,247
Mainland China Chongqing,30.0572,107.874,300,2,7,291,Chongqing,2020-02-02,Chine,300
Mainland China Chongqing,30.0572,107.874,337,2,9,326,Chongqing,2020-02-03,Chine,337
Mainland China Chongqing,30.0572,107.874,366,2,9,355,Chongqing,2020-02-04,Chine,366
Mainland China Chongqing,30.0572,107.874,389,2,15,372,Chongqing,2020-02-05,Chine,389
Mainland China Chongqing,30.0572,107.874,411,2,24,385,Chongqing,2020-02-06,Chine,411
Mainland China Chongqing,30.0572,107.874,426,2,31,393,Chongqing,2020-02-07,Chine,426
Mainland China Chongqing,30.0572,107.874,428,2,39,387,Chongqing,2020-02-08,Chine,428
Mainland China Chongqing,30.0572,107.874,468,2,51,415,Chongqing,2020-02-09,Chine,468
Mainland China Chongqing,30.0572,107.874,486,2,66,418,Chongqing,2020-02-10,Chine,486
Mainland China Chongqing,30.0572,107.874,505,3,79,423,Chongqing,2020-02-11,Chine,505
Mainland China Chongqing,30.0572,107.874,518,3,102,413,Chongqing,2020-02-12,Chine,518
Mainland China Chongqing,30.0572,107.874,529,4,128,397,Chongqing,2020-02-13,Chine,529
Mainland China Chongqing,30.0572,107.874,537,5,152,380,Chongqing,2020-02-14,Chine,537
Mainland China Chongqing,30.0572,107.874,544,5,184,355,Chongqing,2020-02-15,Chine,544
Mainland China Chongqing,30.0572,107.874,551,5,207,339,Chongqing,2020-02-16,Chine,551
Mainland China Chongqing,30.0572,107.874,553,5,225,323,Chongqing,2020-02-17,Chine,553
Mainland China Chongqing,30.0572,107.874,555,5,254,296,Chongqing,2020-02-18,Chine,555
Mainland China Chongqing,30.0572,107.874,560,5,274,281,Chongqing,2020-02-19,Chine,560
Mainland China Chongqing,30.0572,107.874,567,6,299,262,Chongqing,2020-02-20,Chine,567
Mainland China Chongqing,30.0572,107.874,572,6,316,250,Chongqing,2020-02-21,Chine,572
Mainland China Chongqing,30.0572,107.874,573,6,328,239,Chongqing,2020-02-22,Chine,573
Mainland China Chongqing,30.0572,107.874,575,6,335,234,Chongqing,2020-02-23,Chine,575
Mainland China Chongqing,30.0572,107.874,576,6,349,221,Chongqing,2020-02-24,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,372,198,Chongqing,2020-02-25,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,384,186,Chongqing,2020-02-26,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,401,169,Chongqing,2020-02-27,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,422,148,Chongqing,2020-02-28,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,438,132,Chongqing,2020-02-29,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,450,120,Chongqing,2020-03-01,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,469,101,Chongqing,2020-03-02,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,490,80,Chongqing,2020-03-03,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,502,68,Chongqing,2020-03-04,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,512,58,Chongqing,2020-03-05,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,513,57,Chongqing,2020-03-06,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,526,44,Chongqing,2020-03-07,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,527,43,Chongqing,2020-03-08,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,542,28,Chongqing,2020-03-09,Chine,576
Mainland China Chongqing,30.0572,107.874,576,6,547,23,Chongqing,2020-03-10,Chine,576
Mainland China Fujian,26.0789,117.9874,1,0,0,1,Fujian,2020-01-22,Chine,1
Mainland China Fujian,26.0789,117.9874,5,0,0,5,Fujian,2020-01-23,Chine,5
Mainland China Fujian,26.0789,117.9874,10,0,0,10,Fujian,2020-01-24,Chine,10
Mainland China Fujian,26.0789,117.9874,18,0,0,18,Fujian,2020-01-25,Chine,18
Mainland China Fujian,26.0789,117.9874,35,0,0,35,Fujian,2020-01-26,Chine,35
Mainland China Fujian,26.0789,117.9874,59,0,0,59,Fujian,2020-01-27,Chine,59
Mainland China Fujian,26.0789,117.9874,80,0,0,80,Fujian,2020-01-28,Chine,80
Mainland China Fujian,26.0789,117.9874,84,0,0,84,Fujian,2020-01-29,Chine,84
Mainland China Fujian,26.0789,117.9874,101,0,0,101,Fujian,2020-01-30,Chine,101
Mainland China Fujian,26.0789,117.9874,120,0,0,120,Fujian,2020-01-31,Chine,120
Mainland China Fujian,26.0789,117.9874,144,0,0,144,Fujian,2020-02-01,Chine,144
Mainland China Fujian,26.0789,117.9874,159,0,0,159,Fujian,2020-02-02,Chine,159
Mainland China Fujian,26.0789,117.9874,179,0,1,178,Fujian,2020-02-03,Chine,179
Mainland China Fujian,26.0789,117.9874,194,0,3,191,Fujian,2020-02-04,Chine,194
Mainland China Fujian,26.0789,117.9874,205,0,11,194,Fujian,2020-02-05,Chine,205
Mainland China Fujian,26.0789,117.9874,215,0,14,201,Fujian,2020-02-06,Chine,215
Mainland China Fujian,26.0789,117.9874,224,0,20,204,Fujian,2020-02-07,Chine,224
Mainland China Fujian,26.0789,117.9874,239,0,24,215,Fujian,2020-02-08,Chine,239
Mainland China Fujian,26.0789,117.9874,250,0,35,215,Fujian,2020-02-09,Chine,250
Mainland China Fujian,26.0789,117.9874,261,0,39,222,Fujian,2020-02-10,Chine,261
Mainland China Fujian,26.0789,117.9874,267,0,45,222,Fujian,2020-02-11,Chine,267
Mainland China Fujian,26.0789,117.9874,272,0,53,219,Fujian,2020-02-12,Chine,272
Mainland China Fujian,26.0789,117.9874,279,0,57,222,Fujian,2020-02-13,Chine,279
Mainland China Fujian,26.0789,117.9874,281,0,63,218,Fujian,2020-02-14,Chine,281
Mainland China Fujian,26.0789,117.9874,285,0,71,214,Fujian,2020-02-15,Chine,285
Mainland China Fujian,26.0789,117.9874,287,0,82,205,Fujian,2020-02-16,Chine,287
Mainland China Fujian,26.0789,117.9874,290,0,90,200,Fujian,2020-02-17,Chine,290
Mainland China Fujian,26.0789,117.9874,292,0,93,199,Fujian,2020-02-18,Chine,292
Mainland China Fujian,26.0789,117.9874,293,0,112,181,Fujian,2020-02-19,Chine,293
Mainland China Fujian,26.0789,117.9874,293,1,126,166,Fujian,2020-02-20,Chine,293
Mainland China Fujian,26.0789,117.9874,293,1,149,143,Fujian,2020-02-21,Chine,293
Mainland China Fujian,26.0789,117.9874,293,1,162,130,Fujian,2020-02-22,Chine,293
Mainland China Fujian,26.0789,117.9874,293,1,170,122,Fujian,2020-02-23,Chine,293
Mainland China Fujian,26.0789,117.9874,293,1,183,109,Fujian,2020-02-24,Chine,293
Mainland China Fujian,26.0789,117.9874,294,1,199,94,Fujian,2020-02-25,Chine,294
Mainland China Fujian,26.0789,117.9874,294,1,218,75,Fujian,2020-02-26,Chine,294
Mainland China Fujian,26.0789,117.9874,296,1,228,67,Fujian,2020-02-27,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,235,60,Fujian,2020-02-28,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,243,52,Fujian,2020-02-29,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,247,48,Fujian,2020-03-01,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,255,40,Fujian,2020-03-02,Chine,296
