timestamp,BS,BE,GE,TI,VD,VS,ZH,JU,NE,FR
2020-10-13,20.142857142857142,150.0,194.85714285714286,46.285714285714285,218.28571428571428,134.85714285714286,274.42857142857144,33.714285714285715,55.0,95.28571428571429
2020-10-14,23.142857142857142,175.14285714285714,219.85714285714286,54.857142857142854,237.28571428571428,163.14285714285714,315.57142857142856,39.714285714285715,60.285714285714285,107.14285714285714
2020-10-15,27.0,204.85714285714286,245.57142857142858,65.57142857142857,276.85714285714283,194.0,347.42857142857144,41.857142857142854,66.14285714285714,127.71428571428571
2020-10-16,29.142857142857142,227.85714285714286,279.0,78.71428571428571,300.85714285714283,230.71428571428572,379.57142857142856,50.857142857142854,75.71428571428571,146.57142857142858
2020-10-17,28.285714285714285,244.71428571428572,288.57142857142856,85.85714285714286,318.7142857142857,259.7142857142857,405.85714285714283,52.42857142857143,80.42857142857143,160.0
2020-10-18,31.428571428571427,256.2857142857143,296.7142857142857,90.0,350.0,277.14285714285717,418.7142857142857,53.714285714285715,87.28571428571429,176.42857142857142
2020-10-19,34.42857142857143,297.14285714285717,334.42857142857144,114.14285714285714,397.7142857142857,325.42857142857144,460.0,56.0,106.28571428571429,199.57142857142858
2020-10-20,39.857142857142854,343.14285714285717,385.7142857142857,130.14285714285714,451.42857142857144,373.42857142857144,510.85714285714283,61.57142857142857,115.0,232.0
2020-10-21,47.714285714285715,393.57142857142856,439.85714285714283,149.71428571428572,518.2857142857143,426.14285714285717,569.1428571428571,70.28571428571429,127.28571428571429,266.42857142857144
2020-10-22,54.0,435.2857142857143,518.4285714285714,166.57142857142858,569.2857142857143,478.85714285714283,622.2857142857143,81.28571428571429,142.71428571428572,299.7142857142857
2020-10-23,59.285714285714285,484.7142857142857,593.5714285714286,186.57142857142858,661.8571428571429,531.0,678.8571428571429,84.0,155.57142857142858,335.85714285714283
2020-10-24,63.142857142857146,512.5714285714286,628.2857142857143,199.57142857142858,702.8571428571429,565.0,744.1428571428571,90.0,164.57142857142858,364.2857142857143
2020-10-25,64.85714285714286,532.0,660.1428571428571,216.14285714285714,730.5714285714286,590.5714285714286,769.5714285714286,90.42857142857143,170.0,379.57142857142856
2020-10-26,72.42857142857143,594.7142857142857,767.0,239.85714285714286,828.0,635.5714285714286,838.2857142857143,103.14285714285714,187.42857142857142,439.0
2020-10-27,76.14285714285714,640.2857142857143,867.2857142857143,264.57142857142856,917.0,682.5714285714286,904.2857142857143,106.14285714285714,219.42857142857142,497.2857142857143
2020-10-28,79.0,666.7142857142857,947.1428571428571,281.57142857142856,990.2857142857143,696.7142857142857,969.0,108.14285714285714,241.14285714285714,535.4285714285714
2020-10-29,79.85714285714286,690.7142857142857,1005.1428571428571,302.2857142857143,1056.857142857143,712.2857142857143,1004.0,110.28571428571429,259.42857142857144,563.0
2020-10-30,84.71428571428571,714.5714285714286,1031.2857142857142,315.7142857142857,1077.5714285714287,718.7142857142857,1022.1428571428571,116.0,277.42857142857144,594.7142857142857
2020-10-31,84.57142857142857,713.7142857142857,1044.857142857143,318.85714285714283,1115.7142857142858,711.1428571428571,1001.0,117.85714285714286,289.42857142857144,601.8571428571429
2020-11-01,85.71428571428571,714.4285714285714,1041.857142857143,317.2857142857143,1154.2857142857142,703.0,1000.2857142857143,129.28571428571428,295.14285714285717,608.1428571428571
2020-11-02,86.57142857142857,716.1428571428571,1044.142857142857,328.2857142857143,1203.4285714285713,698.1428571428571,991.8571428571429,126.28571428571429,304.42857142857144,630.5714285714286
2020-11-03,89.57142857142857,709.5714285714286,1056.2857142857142,330.2857142857143,1215.142857142857,668.7142857142857,980.7142857142857,126.0,301.85714285714283,638.5714285714286
2020-11-04,87.57142857142857,704.4285714285714,1043.4285714285713,330.7142857142857,1227.857142857143,636.2857142857143,946.2857142857143,120.42857142857143,305.57142857142856,643.8571428571429
2020-11-05,87.42857142857143,682.8571428571429,1007.8571428571429,323.7142857142857,1223.4285714285713,601.2857142857143,925.0,113.42857142857143,300.14285714285717,648.0
2020-11-06,84.28571428571429,655.5714285714286,990.8571428571429,322.57142857142856,1224.4285714285713,551.5714285714286,905.2857142857143,102.57142857142857,288.42857142857144,628.8571428571429
2020-11-07,84.0,651.0,980.7142857142857,320.57142857142856,1220.142857142857,522.4285714285714,880.1428571428571,97.57142857142857,276.2857142857143,625.4285714285714
2020-11-08,84.14285714285714,639.1428571428571,973.7142857142857,316.57142857142856,1208.0,504.0,879.0,90.28571428571429,274.14285714285717,621.1428571428571
2020-11-09,85.85714285714286,599.7142857142857,941.4285714285714,316.57142857142856,1172.4285714285713,462.0,852.5714285714286,81.42857142857143,257.85714285714283,583.7142857142857
2020-11-10,88.85714285714286,567.7142857142857,869.7142857142857,318.0,1159.142857142857,425.42857142857144,818.7142857142857,73.85714285714286,235.14285714285714,552.7142857142857
2020-11-11,90.42857142857143,531.8571428571429,812.2857142857143,311.42857142857144,1104.857142857143,397.0,779.4285714285714,67.42857142857143,214.71428571428572,515.5714285714286
2020-11-12,99.57142857142857,516.4285714285714,761.8571428571429,314.7142857142857,1060.142857142857,365.0,750.0,62.857142857142854,197.71428571428572,473.0
2020-11-13,107.0,498.14285714285717,700.2857142857143,306.57142857142856,1015.5714285714286,342.85714285714283,724.0,60.857142857142854,189.42857142857142,447.14285714285717
2020-11-14,110.42857142857143,491.57142857142856,669.7142857142857,301.2857142857143,986.0,330.7142857142857,712.1428571428571,56.142857142857146,185.71428571428572,421.0
2020-11-15,113.85714285714286,488.57142857142856,652.1428571428571,302.57142857142856,933.2857142857143,320.42857142857144,713.2857142857143,52.142857142857146,178.85714285714286,397.2857142857143
2020-11-16,116.28571428571429,468.14285714285717,580.8571428571429,283.0,852.7142857142857,287.42857142857144,714.1428571428571,47.57142857142857,168.0,357.57142857142856
2020-11-17,115.85714285714286,448.0,509.2857142857143,261.42857142857144,761.7142857142857,266.57142857142856,706.8571428571429,43.142857142857146,161.28571428571428,308.7142857142857
2020-11-18,115.85714285714286,436.42857142857144,451.57142857142856,252.28571428571428,697.8571428571429,248.28571428571428,699.8571428571429,40.714285714285715,149.85714285714286,278.0
2020-11-19,106.85714285714286,430.2857142857143,402.2857142857143,237.71428571428572,638.1428571428571,230.57142857142858,699.2857142857143,39.714285714285715,138.57142857142858,245.85714285714286
2020-11-20,101.28571428571429,418.14285714285717,353.7142857142857,233.85714285714286,579.8571428571429,208.85714285714286,689.5714285714286,36.285714285714285,123.0,217.28571428571428
2020-11-21,102.85714285714286,410.85714285714283,336.57142857142856,237.42857142857142,541.1428571428571,200.0,688.0,35.57142857142857,116.57142857142857,201.42857142857142
2020-11-22,98.57142857142857,411.0,323.42857142857144,235.57142857142858,523.1428571428571,196.42857142857142,678.7142857142857,34.857142857142854,112.57142857142857,193.14285714285714
2020-11-23,90.14285714285714,368.2857142857143,274.57142857142856,206.57142857142858,466.57142857142856,166.85714285714286,604.5714285714286,27.428571428571427,95.57142857142857,164.0
